DOMAIN	ACC	DEFINITION	DomainFreqbyProtein	DomainFreqinProteome
--------------------------------------------------------------------------------
1-cysPrx_C	PF10417	C-terminal domain of 1-Cys peroxiredoxin	0.0002451461070798196	0.0002451461070798196
120_Rick_ant	PF12574	120 KDa Rickettsia surface antigen	NA	NA
12TM_1	PF09847	Membrane protein of 12 TMs	NA	NA
14-3-3	PF00244	14-3-3 protein	0.0003432045499117474	0.0003432045499117474
17kDa_Anti_2	PF16998	17 kDa outer membrane surface antigen	NA	NA
2-Hacid_dh	PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	0.00019611688566385565	0.00019611688566385565
2-Hacid_dh_C	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	0.00019611688566385565	0.00019611688566385565
2-oxoacid_dh	PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	0.00019611688566385565	0.00019611688566385565
2-oxogl_dehyd_N	PF16078	2-oxoglutarate dehydrogenase N-terminus	9.805844283192783e-05	9.805844283192783e-05
2-ph_phosp	PF04029	2-phosphosulpholactate phosphatase	NA	NA
23ISL	PF16620	Unstructured linker between I-set domains 2 and 3 on MYLCK	4.902922141596391e-05	4.902922141596391e-05
23S_rRNA_IVP	PF05635	23S rRNA-intervening sequence protein	NA	NA
2CSK_N	PF08521	Two-component sensor kinase N-terminal	NA	NA
2C_adapt	PF08793	2-cysteine adaptor domain	NA	NA
2Fe-2S_Ferredox	PF11591	Ferredoxin chloroplastic transit peptide	NA	NA
2Fe-2S_thioredx	PF01257	Thioredoxin-like [2Fe-2S] ferredoxin	4.902922141596391e-05	4.902922141596391e-05
2H-phosphodiest	PF08975	Domain of unknown function (DUF1868)	NA	NA
2HCT	PF03390	2-hydroxycarboxylate transporter family	NA	NA
2OG-FeII_Oxy	PF03171	2OG-Fe(II) oxygenase superfamily	0.00014708766424789175	0.00014708766424789175
2OG-FeII_Oxy_2	PF13532	2OG-Fe(II) oxygenase superfamily	0.0003432045499117474	0.0003432045499117474
2OG-FeII_Oxy_3	PF13640	2OG-Fe(II) oxygenase superfamily	0.0005393214355756031	0.0005393214355756031
2OG-FeII_Oxy_4	PF13661	2OG-Fe(II) oxygenase superfamily	4.902922141596391e-05	4.902922141596391e-05
2OG-FeII_Oxy_5	PF13759	Putative 2OG-Fe(II) oxygenase	NA	NA
2OG-Fe_Oxy_2	PF10014	2OG-Fe dioxygenase	NA	NA
2TM	PF13239	2TM domain	NA	NA
2_5_RNA_ligase2	PF13563	2'-5' RNA ligase superfamily	NA	NA
3-alpha	PF03475	3-alpha domain	NA	NA
3-dmu-9_3-mt	PF06983	3-demethylubiquinone-9 3-methyltransferase	NA	NA
3-HAO	PF06052	3-hydroxyanthranilic acid dioxygenase	4.902922141596391e-05	4.902922141596391e-05
3-PAP	PF12578	Myotubularin-associated protein	0.00014708766424789175	0.00014708766424789175
30K_MP_core	PF17644	Core domain of 30K viral movement proteins	NA	NA
30K_MP_C_Ter	PF11330	C-Terminal of 30K viral movement proteins	NA	NA
3A	PF00803	3A/RNA2 movement protein family	NA	NA
3Beta_HSD	PF01073	3-beta hydroxysteroid dehydrogenase/isomerase family	0.0002941753284957835	0.0002941753284957835
3D	PF06725	3D domain	NA	NA
3H	PF02829	3H domain	NA	NA
3HBOH	PF10605	3HB-oligomer hydrolase (3HBOH)	NA	NA
3HCDH	PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	0.00019611688566385565	0.0002941753284957835
3HCDH_N	PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	0.00019611688566385565	0.00019611688566385565
