DOMAIN	ACC	DEFINITION	DomainFreqbyProtein	DomainFreqinProteome
--------------------------------------------------------------------------------
14_3_3	SM00101	14-3-3 homologues	0.0003432045499117474	0.0003432045499117474
35EXOc	SM00474	3'-5' exonuclease	0.0002451461070798196	0.0002451461070798196
4.1m	SM00294	putative band 4.1 homologues' binding motif	0.0008334967640713865	0.0008334967640713865
6PGD	SM01350	6-phosphogluconate dehydrogenase, C-terminal domain	4.902922141596391e-05	4.902922141596391e-05
7TM_GPCR_Srsx	SM01381	Serpentine type 7TM GPCR chemoreceptor Srsx	0.005785448127083742	0.005785448127083742
A1pp	SM00506	Appr-1"-p processing enzyme	0.00044126299274367523	0.0006373798784075309
A2M	SM01360	Alpha-2-macroglobulin family	0.000588350656991567	0.000588350656991567
A2M_N_2	SM01359	Alpha-2-Macroglobulin	0.0005393214355756031	0.0005393214355756031
A2M_recep	SM01361	A-macroglobulin receptor	0.0005393214355756031	0.0005393214355756031
A4_EXTRA	SM00006	amyloid A4	0.00014708766424789175	0.00014708766424789175
AAA	SM00382	ATPases associated with a variety of cellular activities	0.006618944891155129	0.010198078054520495
Aamy	SM00642	Alpha-amylase domain	0.0003922337713277113	0.0003922337713277113
Aamy_C	SM00632	NA	0.0002451461070798196	0.0002451461070798196
AARP2CN	SM00785	AARP2CN (NUC121) domain	9.805844283192783e-05	9.805844283192783e-05
acidPPc	SM00014	Acid phosphatase homologues	0.0008825259854873505	0.0008825259854873505
ACR	SM00608	ADAM Cysteine-Rich Domain	0.0013728181996469895	0.0013728181996469895
ACTH_domain	SM01363	Corticotropin ACTH domain	4.902922141596391e-05	9.805844283192783e-05
ACTIN	SM00268	Actin	0.0015689350853108452	0.0015689350853108452
AD	SM00995	Anticodon-binding domain	4.902922141596391e-05	4.902922141596391e-05
ADEAMc	SM00552	tRNA-specific and double-stranded RNA adenosine deaminase (RNA-specific editase)	0.0002941753284957835	0.0002941753284957835
Adenylsucc_synt	SM00788	Adenylosuccinate synthetase	9.805844283192783e-05	9.805844283192783e-05
ADF	SM00102	Actin depolymerisation factor/cofilin -like domains	0.0004902922141596392	0.000588350656991567
AdoHcyase	SM00996	S-adenosyl-L-homocysteine hydrolase	0.00014708766424789175	0.00014708766424789175
AdoHcyase_NAD	SM00997	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	0.00014708766424789175	0.00014708766424789175
ADSL_C	SM00998	Adenylosuccinate lyase C-terminus	4.902922141596391e-05	4.902922141596391e-05
